
资阳本地频道,#genre#

资阳电视台,https://zbsczy.zyrb.com.cn/zygc/q_live169940503167305.m3u8
资阳雁江台,https://zbsczy.zyrb.com.cn/zygc/q_live169940504887269.m3u8
乐至综合,http://175.155.106.72:89/live1/live1.m3u8#http://rmlive.lzxrmtzx.com:80/live1/live1.m3u8
内江综合,https://njzb.scnj.tv/hls_njtv_direct/1.m3u8
威远新闻综合,http://dxplay.scwy.cn/live/weiyuanzonghepingdao/index.m3u8?zsicd#http://dxplay.scwy.cn/live/weiyuanzonghepingdao/index.m3u8

 
斗鱼电影国内,http://tc-tct.douyucdn2.cn/dyliveflv1/85894rmovieChow_2000p.flv?wsAuth=f149db0a268e17b462c4032f715fc551&token=cpn-androidmpro-0-85894-a3575d938a4aa30976aaee9c53a07043e9aa8ec98785781a&logo=0&expire=0&did=d010b07dcb997ada9934081c873542f0&origin=tct&vhost=play1
斗鱼电影国外,http://tc-tct.douyucdn2.cn/dyliveflv1a/20415rnWbjg6Ex1K_2000.flv?wsAuth=c357f68d7199827c89663777da40c4ee&token=cpn-androidmpro-0-20415-b6774b3b3249db1798811cfe5c393414bcc73f076e3a65fa&logo=0&expire=0&did=d010b07dcb997ada9934081c873542f0&origin=tct&vhost=play2

开心麻花小品,http://tc-tct.douyucdn2.cn/dyliveflv3/10153463r0oBSmAG.flv?wsAuth=327f9acf257abce343423d9ca46ef9ae&token=cpn-androidmpro-0-10153463-ee6c60cb51b36154827caa4c2303ce140c03be821c37ac32&logo=0&expire=0&did=d010b07dcb997ada9934081c873542f0&origin=tct&vhost=play3
赵本山小品,http://mmitv.top/pltv/yy.php?id=32160832&uid=2361867875

三国下饭神剧,http://mmitv.top/pltv/yy.php?id=23512910&uid=2244321222




央视卫视超清,#genre#
CCTV1 8M,http://nas.jdshipin.com:8801/bst.php?id=cctv1
CCTV2 8M,http://nas.jdshipin.com:8801/bst.php?id=cctv2
CCTV3 8M,http://nas.jdshipin.com:8801/bst.php?id=cctv3
CCTV4 8M,http://nas.jdshipin.com:8801/bst.php?id=cctv4
CCTV5 8M,http://nas.jdshipin.com:8801/bst.php?id=cctv5
CCTV5+ 8M,http://nas.jdshipin.com:8801/bst.php?id=cctv5p
CCTV6 8M,http://nas.jdshipin.com:8801/bst.php?id=cctv6
CCTV7 8M,http://nas.jdshipin.com:8801/bst.php?id=cctv7
CCTV8 8M,http://nas.jdshipin.com:8801/bst.php?id=cctv8
CCTV9 8M,http://nas.jdshipin.com:8801/bst.php?id=cctv9
CCTV10 8M,http://nas.jdshipin.com:8801/bst.php?id=cctv10
CCTV11 8M,http://nas.jdshipin.com:8801/bst.php?id=cctv11
CCTV12 8M,http://nas.jdshipin.com:8801/bst.php?id=cctv12
CCTV13 8M,http://nas.jdshipin.com:8801/bst.php?id=cctv13
CCTV14 8M,http://nas.jdshipin.com:8801/bst.php?id=cctv14
CCTV15 8M,http://nas.jdshipin.com:8801/bst.php?id=cctv15
CCTV16 8M,http://nas.jdshipin.com:8801/bst.php?id=cctv16
CCTV17 8M,http://nas.jdshipin.com:8801/bst.php?id=cctv17
中国教育1台,http://nas.jdshipin.com:8801/bst.php?id=zgjy1
中国教育2台,http://nas.jdshipin.com:8801/bst.php?id=zgjy2
中国教育4台,http://nas.jdshipin.com:8801/bst.php?id=zgjy4
金鹰卡通,http://nas.jdshipin.com:8801/bst.php?id=jykt
嘉佳卡通,http://nas.jdshipin.com:8801/bst.php?id=jjkt
中国天气,http://nas.jdshipin.com:8801/bst.php?id=zgtq
财富天下,http://nas.jdshipin.com:8801/bst.php?id=cftx
CCTV4K,http://nas.jdshipin.com:8801/bst.php?id=cctv4k
CCTV16_4K,http://nas.jdshipin.com:8801/bst.php?id=cctv164k

江苏卫视 8M,http://nas.jdshipin.com:8801/bst.php?id=jsws
广西卫视 8M,http://nas.jdshipin.com:8801/bst.php?id=gxws
四川卫视 8M,http://nas.jdshipin.com:8801/bst.php?id=scws
湖南卫视 8M,http://nas.jdshipin.com:8801/bst.php?id=hunan
浙江卫视 8M,http://nas.jdshipin.com:8801/bst.php?id=zjws
东方卫视 8M,http://nas.jdshipin.com:8801/bst.php?id=dfws
北京卫视 8M,http://nas.jdshipin.com:8801/bst.php?id=bjws
天津卫视 8M,http://nas.jdshipin.com:8801/bst.php?id=tjws
辽宁卫视 8M,http://nas.jdshipin.com:8801/bst.php?id=lnws
安徽卫视 8M,http://nas.jdshipin.com:8801/bst.php?id=ahws
黑龙江卫视 8M,http://nas.jdshipin.com:8801/bst.php?id=hljws
广东卫视 8M,http://nas.jdshipin.com:8801/bst.php?id=gdws
深圳卫视 8M,http://nas.jdshipin.com:8801/bst.php?id=szws
湖北卫视 8M,http://nas.jdshipin.com:8801/bst.php?id=hubei
吉林卫视 8M,http://nas.jdshipin.com:8801/bst.php?id=jlws
山东卫视 8M,http://nas.jdshipin.com:8801/bst.php?id=sdws
江西卫视 8M,http://nas.jdshipin.com:8801/bst.php?id=jxws
河南卫视 8M,http://nas.jdshipin.com:8801/bst.php?id=hnws
河北卫视 8M,http://nas.jdshipin.com:8801/bst.php?id=hbws
甘肃卫视 8M,http://nas.jdshipin.com:8801/bst.php?id=gsws
重庆卫视 8M,http://nas.jdshipin.com:8801/bst.php?id=cqws
东南卫视 8M,http://nas.jdshipin.com:8801/bst.php?id=dnws
云南卫视 8M,http://nas.jdshipin.com:8801/bst.php?id=ynws
贵州卫视 8M,http://nas.jdshipin.com:8801/bst.php?id=gzws
