
🍊4K综合,#genre#
CCTV-4K,http://111.31.26.166/tlivecloud-ipv6.ysp.cctv.cn/001/2000266303.m3u8
CCTV-4K,http://118.24.227.124/tv.live.cbnbn.cn/__cl/cg:live/__c/CCTV4K/__op/default/__f/index.m3u8
4K影视2,http://111.20.40.170/PLTV/88888893/224/3221226352/index.m3u8?blog.ntnas.top
广东4k超高清,https://epg.pw/stream/e9822bd481c09b7d5a748c779eb7876198f657149dbc1744a0283f44d3ab8636.m3u8
纯享4K,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225786/index.m3u8
欢笑剧场4K,http://118.24.227.124/tv.live.cbnbn.cn/__cl/cg:live/__c/hxjc_4K/__op/default/__f/index.m3u8
CCTV16-4K,http://118.24.227.124/tv.live.cbnbn.cn/__cl/cg:live/__c/CCTV16_4K/__op/default/__f/index.m3u8
CCTV-4K,https://live.v1.mk/api/bestv.php?id=cctv4k/15000000
欢笑剧场4k,https://live.v1.mk/api/bestv.php?id=hxjc4k/15000000
苏州4K,http://liveshowbak2.kan0512.com/ksz-norecord/csztv4k_4k.m3u8
欢笑剧场4K,http://159.75.85.63:5681/sxg.php?id=hxjc-4k_8000
纯享4K备,http://39.134.115.163:8080/PLTV/88888910/224/3221225786/index.m3u8
爱上4K,http://111.20.40.170/PLTV/88888893/224/3221226352/index.m3u8
北京IPTV-4K,http://221.179.217.76/PLTV/88888888/224/3221226550/1.m3u8
4K超高清电影,http://159.75.85.63:5681/sxg.php
CCTV-4K,http://lu1.cc/itv/php/cctv4k.php
北京IPTV 4K,http://www.youku.cf:4022/rtp/239.3.1.249:8001
爱上4K,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226352/index.m3u8
欢笑剧场 4K,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226582/index.m3u8
Clarity 4K,https://d3thiix3tzne5u.cloudfront.net/playlist2160p.m3u8
LoveNature 4K,https://d18dyiwu97wm6q.cloudfront.net/playlist2160p.m3u8


🎈高清电影,#genre#
CHC动作电影,http://111.20.40.170/PLTV/88888893/224/3221226465/index.m3u8
CHC家庭影院,http://111.20.40.170/PLTV/88888893/224/3221226462/index.m3u8
CHC高清电影,http://111.20.40.170/PLTV/88888893/224/3221226463/index.m3u8
CHC高清电影,http://118.24.227.124/tv.live.cbnbn.cn/__cl/cg:live/__c/chcgqdyHD/__op/default/__f/index.m3u8
CHC动作电影,http://118.24.227.124/tv.live.cbnbn.cn/__cl/cg:live/__c/chcdzdyHD/__op/default/__f/index.m3u8
CHC家庭影院,http://118.24.227.124/tv.live.cbnbn.cn/__cl/cg:live/__c/chcjtyyHD/__op/default/__f/index.m3u8
黑莓电影[1920*1080],http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225764/index.m3u8
豆瓣评分,http://epg.112114.xyz/douyu/8770422
高分电影,https://live.v1.mk/api/bestv.php?id=qqdp8m/8000000
热门电影,https://live.v1.mk/api/bestv.php?id=xgyy8m/8000000
漫威电影,http://epg.112114.xyz/douyu/9651304
漫威电影,http://epg.112114.xyz/douyu/6140589
纬来电影,http://103.68.63.37:8278/videolandmovie/playlist.m3u8
澳门莲花,http://anren.live/HK/BiIOU11uLA.m3u8
澳门莲花,http://nettvpro.live/hls/lotustv.php
东森电影,http://120.84.96.89:808/hls/32/index.m3u8
东森洋片,http://120.84.96.89:808/hls/33/index.m3u8
龙翔时代,http://120.84.96.73:808/hls/35/index.m3u8
刘德华,http://epg.112114.xyz/douyu/8985415
刘德华2,http://epg.112114.xyz/douyu/2516864
成龙,http://106.53.212.251/daili/yy.php?id=1354888751
重庆影视高清,http://118.24.227.124/tv.live.cbnbn.cn/__cl/cg:live/__c/cqyingshiHD/__op/default/__f/index.m3u8
霍格影片,http://epg.112114.xyz/douyu/8814650
周末影院,http://epg.112114.xyz/douyu/3637765
🎈香港直播,#genre#
凤凰中文,http://play-live.ifeng.com/live/06OLEGEGM4G.m3u8
凤凰资讯,http://play-live.ifeng.com/live/06OLEEWQKN4.m3u8
凤凰电影,http://111.59.189.40:8445/tsfile/live/1022_1.m3u8
🎈央视直播,#genre#
CCTV1,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226231/index.m3u8
CCTV2,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226195/index.m3u8
CCTV3,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226397/index.m3u8
CCTV4,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226191/index.m3u8
CCTV5,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226395/index.m3u8
CCTV5+,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226221/index.m3u8
CCTV6,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226393/index.m3u8
CCTV7,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226192/index.m3u8
CCTV8,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226391/index.m3u8
CCTV9,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226197/index.m3u8
CCTV10,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226189/index.m3u8
CCTV11,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226240/index.m3u8
